id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,adresse,strasse,hausnummer,plz,arbeitsort,wohnort,wunscharbeitsort,umzugszwang,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,anlage_wann,minicrm_id,how_where_contacted
106,Wolf,Nina,Prof. Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Ltd. OA,"Chefarzt, Gesellschafter",Facharzt,"Radiologie, Nuklearmedizin",FA Rad und hat Fortbildung Nuk,"ist Ltd. OA Uni Köln

Tel. Wien und Rosenheim kommen nicht infrage. Rosenheim fachlich sehr interessant aber es wäre in der Peripherie, also nicht so Prestigeträchtig. 
Tele-Nuk, müsste schn ca. 130€ pro Befund sein. Aber gerne in Verbindung bleiben und über Tele Nuk informieren. 
Bei Infos gerne Email vorab. 
Hat selbst 20.000 PET Cts gemacht. Ist der Radiologe der das immer macht. 

Tel. Ist Ltd. OA Uni Köln. Ist FA Rad und hat Weiterbildung in Nuk. Will mehr als 200k verdienen. Sehr gut auch in München vernetzt. Ist Leiter Uroradiologie. Hat auch Interesse an FA Strahlentherapiel. Hat 2 Kinder aber Familie ist Umzugsbereit. Planen Urlaub in Südbayern. 
RoMed und Wien angeboten. Großes Interesse an Romed und wegen Wien muss noch nachdenken. Gesagt, dass er bei Romed ca. 230-240k verdienen wird bei 48h. Vereinbart, dass wir nächste Woche Mittwoch telefonieren und er vllt. bei seinem Urlaub in Rosenheim vorbeikommt.",nina.wolf@outlook.com,+49 1171714126,,2025-08-20 23:59:00,1ya9qi0ljs0r1xgmsr6c111l9gqk0l,Tel.
137,Schulz,Isabella,Dr.,interested,,vorgestellt bei Mergen,,,,,,,,DE,,"ganz Deutschland, Österreich, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Doppelfacharzt,"Radiologie, Nuklearmedizin",interessiert an Tele-Nuk,"interessiert an Tele-Nuk
DoppelFA Radiologie Nuklearmedizin",isabella.schulz@yahoo.de,+49 1700266371,,2025-10-28 23:59:00,2hae9ezock0umxg7nx520bwdv3bo0g,Tel.
147,Bauer,Mila,,interested,,vorgestellt bei Mergen,,,,,,,,DE,,"ganz Deutschland, Österreich, Schweiz",,Oberarzt,Gesellschafter,Facharzt,Nuklearmedizin,will Gesellschafter,"Will als Gesellschafter, FA Nuklearmedizin
aktuell kein PET/CT aber in Uni viel PET/CT gemacht 2 Jahre in Folge
01.03.2026
Vollzeit 

bei Mergen vorgestellt. Leider von Mergen abgesagt weil zu sehr auf Geld fixiert. 
Gerne in Kontakt bleiben.",mila.bauer@yahoo.de,+49 1435394598,,2025-11-13 23:59:00,0n3xfama370v57gbi4xr2a077h2n4g,Tel.
154,Zimmermann,Anna,Dr.,interested,,vor Ort Besuch,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt, Gesellschafter",Facharzt,Nuklearmedizin,für Tele Nuk,"ihm wäre wichtig, dass er als Honorararzt arbeiten kann. Da er Notarzt in 4 Bezirken fährt, entgeht man so der Scheinselbstständigkeit.
Er würde sich über eine langfristige regelmäßige Zusammenarbeit sehr freuen. In unserem Gespräch hat er vorgeschlagen, dass er gerne alle PSMA Prostata PET/CT befunden könnte. Dazu würde er mindestens einen Tag pro Woche, in der Urlaubszeit auch gerne mehr, für unser Projekt fest einplanen. 

ist in HHU, will bis 2027 bleiben weil er habil macht. Macht auch Notarzt parallel und viel Forschung. Macht 80h pro Woche. Sehr interessiert an Tele Nuk. Sehr guten Kontakt zu Dr. Werner an der TUMünchen mit Forschung. Bei PUBMED seinen Namen eingeben. Hat in den letzten Jahren über 20 Publikationen. Kann gerne immer wieder für eine Woche nach München kommen. Will auch mit den Daten aus RoMed Forschen.",anna.zimmermann@gmail.com,+49 1095511823,,2025-10-29 23:59:00,1svayvl5px0hclwixqg32a37vuxz5b,Tel.
174,Weber,Sophie,,interested,,,,,,,,,,DE,,"ganz Deutschland, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",nur Süddeutschland,"07.04.25 - Tele-Nuk ist bereit 20 Std. an 2 Tagen pro Woche. Hat aber keine Fachkunde Nuk und kein FA Nuk.

07.06.2024 - TP:
Tel. Sehr angeneht. Arbeitet bei RoMed Klinik in der Klinik. Will mehr Gehalt und AT. Hatte Angebote NRW 250k aber will in Süddeustchalnd bleiben.
fehlen nur noch 6 Monate Weiterbildung in der Nuk und dann DoppelFA",sophie.weber@gmail.com,+49 1813166435,,2025-04-07 23:59:00,0bzs12vfr404r79mksd826x4qlq7m1,Tel.
216,Becker,Sarah,,interested,,,,,,,,,,DE,True,ganz Deutschland,,Facharzt,"Facharzt, Oberarzt",Facharzt,"Radiologie, Neuroradiologie",nur Interventionelle Neuroradiologie,"hat eine neue Selle in Uni Basel angefangen

will nur Interventionelle Neuroradiologie

Meppen21.04.2025bei Dr. Celik angefragt Email
Marburg25.04.2025Dr. Almohammad - Team ist voll
Bremerhaven21.04.2025kann sich gerne bewerben
Rotenburg29.09.2025passt nicht weit allgemein und INterventionell
Bad Segeberg23.04.2025bei Dr. Steffen angefragt
Braunschweig23.04.2025bei Prof. Behme Magdeburg vorstellen
Dortmund18.03.2025Dr. Teubert sucht auch

Tel. will Aneurysma, Fistel, Embolosation lernen. Kann schon Thrombektomien und Carottisstent. Kündigungsfrist 2 Monate. Ganz DE, Umzug ok.",sarah.becker@yahoo.de,+49 1211158462,,2025-04-15 23:59:00,1lee33x5wr0u7o4xke6v0yxn8ypxri,LinkedIn
217,Krüger,Nina,,interested,,,,,,,,,,DE,True,ganz Deutschland,,Ltd. OA,"Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will CA Neuroradiologie,"St. Gallen vorgestellt
Tel. 22.02.2025

Will nur eine CA Stelle
In ganz DE offen und auch ggf CH wenn CA
Will Abteilung Neuaufbau Interventionelle Neuroradiologie + Radiologie. Oder zB wenn CA in 1-2 Jahren in Rente geht, dann kommt er als Ltd OA und übernimmt dann. 
Machen alles außer Stants. Machen Angios etc…

Vereinbart, dass wir uns melden wenn wir etwas passendes haben.",nina.krüger@web.de,+49 1009964754,,2025-11-11 23:59:00,2piyg7m26s09vqvji1vi1zu5mw0gjr,LinkedIn
218,Neumann,Lena,Dr.,interested,,,,,,,,,,DE,True,ganz Deutschland,,Ltd. OA,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will CA Radiologie und Neuroradiologie,"Primär ist eine chefärztliche Tätigkeit in der Radiologie bzw. ggf. auch mit Neuroradiologie erwünscht.Eine zusätzliche Mittätigkeit in einem MVZ wäre hierbei auch möglich. Eine erneute Ltd. Oberarzt Position oder eine alleinige Neuroradiologische Stelle wollte ich zukünftig ungern anstreben. 

Ich bin am Niederrhein in Moers aufgewachsen, natürlich wäre eine Stelle in diesem Gebiet sehr interessant, aber letztendlich gibt es für mich keine besonderen Einschränkungen für potentielle Stellen deutschlandweit. 

Bisher bin ich keinerlei konkreten Angeboten nachgegangenen. Die Entscheidung sich weiterzuentwickeln besteht seit kurzem

St. Gallen angeboten",lena.neumann@web.de,+49 1919809332,,2025-11-11 23:59:00,12tibfg1xr07dvh06c1213s2bvlbpz,Email
219,Schneider,Anna,Dr.,interested,,,,,,,,,,DE,True,ganz Deutschland,,Ltd. OA,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will CA Radiologie und Neuroradiologie,"Kontakt über Linkedin, möchte Chefarzt Neuro/ Radiologie , Mein nächstes Karriereziel ist eine Chefarztposition. Idealerweise in einem Krankenhaus der Maximalversorgung.

Standorte wären nicht kleine Städte

St. Gallen angefragt",anna.schneider@gmail.com,+49 1188249174,,2025-02-19 23:59:00,0hj79aghnr0a2upr0t5904bx59zrob,LinkedIn
228,Krüger,Lisa,,interested,,,,,,,,,,DE,,ganz Deutschland,,Oberarzt,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"bei Ochtrop vorgestellt. Keine Rückmeldung.
Wien angefragt.",lisa.krüger@web.de,+49 1218635549,,2025-06-23 23:59:00,16m1b5i07w0t9n9bp35r1kls7qisud,Email
