id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,adresse,strasse,hausnummer,plz,arbeitsort,wohnort,wunscharbeitsort,umzugszwang,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,anlage_wann,minicrm_id,how_where_contacted,export_timestamp,export_date
101,Neumann,Mila,Dr.,interested,,,,,,,,,,hamburg,,Hamburg,,"Facharzt, Freelancer","Chefarzt, Standortleiter","Facharzt, Doppelfacharzt","Radiologie, Nuklearmedizin",ist bei Conradia,"zu Tele-Nuk: Ist nebenberflich OA in Norwegen. Kennt dort 2 Kollegin und Kollegen, sind an der Uni in Oslo am PET/CT – sprechen Deutsch, für die das auch sehr interessant wäre. 
Befund dauert ca. 1 Std. als Radiologe verdient man ca. 200 pro Std. Teleradiologie, weil ca. 50-60€ pro Fall.
Er könnte ca. 5 Std pro Woche machen + die Kollegin könnte ca. 20 Std. pro Woche + Kollege
Man hat 2 Monitore + PC
1 mal pro halbjahr werden diese per fernaufschaltung gecheckt und 1 mal täglich von ihm selbst. 
Weöches PACS? Portal?",mila.neumann@gmail.com,+49 1121761165,,2025-03-27 23:59:00,0tuqwyknv01t0nidzip51gnd2naya8,Tel.,2026-01-17 17:25:35,2026-01-17
1010,Klein,Elena,Dr.,interested,,,,,,,,,,DE,True,ganz Deutschland,,Ltd. OA,Chefarzt,Facharzt,Anästhesie,will CA,"West- und Süddeutschland  + Hessen
will 350k s.h. Email und weitere Unterlagen",elena.klein@yahoo.de,+49 1616526694,,2025-09-30 23:59:00,1c1ec417e90tlilo1byf2pellrdiaz,Email,2026-01-17 17:25:35,2026-01-17
1011,Zimmermann,Isabella,,interested,,vorgestellt,,,,,,,,nordrhein-westfalen,,NRW,,,,sonstige,Anästhesie,Fachkrankenschwester,"Fachkrankenschwester für OP und Anästhesie

vorgestellt bei Stückle und Küthe",isabella.zimmermann@yahoo.de,+49 1804125185,,2025-11-19 23:59:00,2p614s0v611pqqh76jnp14fc8wrud8,Email,2026-01-17 17:25:35,2026-01-17
1012,Schulz,Sophie,,contacted,,,,,,,,,,stelle,,,,,,Facharzt,Orthopädie & UCH,"Der Kandidat arbeitet zu Zeit als Oberarzt im EVK CASTROP RAUXEL.
Er hat erst kürzlich zusätzliche Weiterbildungen abgeschlossen und steht kurz vor dem Erwerb weiterer Zertifikate und Zusatzbezeichnungen. Zum Anfang des Jahres 2023 sollte der Kandidat bereits seine Zertifikate erhalten haben, dazu gehört die Zusatzbezeichnung in Spezielle Unfallchirurgie, Fußchirurgie und Wundexperte. Der Kandidat möchte sehr gerne in die Privatumgebung wechseln, weg von den Diensten und Schichten in einer Klinik. Er war stets in einem Klinikumfeld tätig und möchte endlich geregelte Arbeitszeiten und  die Wochenenden mit seiner Familie frei genießen können. Dr. Abdelatti hat sich sehr interessiert an der Stelle gezeigt und hat umgehend seine Dokumente zugesendet, sowie sein Commitment zur Vorstellung bekräftigt. Dr. Abdelatti steht Ihnen ab sofort für erste Gespräche zur Verfügung.","20.10.2022 - evgeny:
• Facharzt für Orthopädie und Unfallchirurgie 
• Spezielle Unfallchirurgie und D-Arzt 
(Erwerb zum Jahresanfang 2023)
• Zertifikat  Fußchirurgie (kurz vor dem Abschluss)
• Wundexperte (Die Zertifikat kommt noch).


07.10.2022 - evgeny:
Job Hopper",sophie.schulz@web.de,+49 1987489711,,2026-01-17 14:33:19.320917,2eekoye3va2an4j48hl42b9c56acmn,,2026-01-17 17:25:35,2026-01-17
102,Krüger,Klara,Dr.,interested,,,,,,,,,,bayern,False,Bayern,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter","Facharzt, Doppelfacharzt","Radiologie, Nuklearmedizin",will PET/CT,"03.04. Tele-Nuk: Wie wird das PET abgerechnet? Privat, GKV,ASV. Wie viele Stunden hat man sicher? Dann würde er auch reduzieren. könnte 5-8h pro Woche. 
gesagt dass 70€ pro Befund bei 30 Min. pro Befund. 


07.03.2024 - TP:
Tel und bei Mergen vorgestellt. 
will PET/CT haben
Hat man eine Therapiestation?
Umzug nach Rosenheim ok
in München studiert
langfristige Tätigkeit
wissenschaftliches Arbeiten vllt Habil. muss aber nicht
Studenten betreuen auch jetzt schon
Frau arbeitet in München
Start nach Vereinbarung ca. ab Herbst
Schilddrüsen eher weniger
€ gerne 190.000€ p.a. Wunsch",klara.krüger@gmail.com,+49 1291322864,,2025-04-03 23:59:00,05478eypfy1mlm2tpl8q2es5xeu6x3,Tel.,2026-01-17 17:25:35,2026-01-17
122,Wagner,Emma,Dr.,interested,,,,,,,,,,dresden,False,,,,,Doppelfacharzt,"Radiologie, Nuklearmedizin",Dresden,"04.04. zu Tele-Nuk: Hat Interesse aber ihm ist die Zeit mit seiner Familie wichtig, deswegen würde es machen aber wahrscheinlich zu einem teureren Preis. 
Man hat sowas auch mal in Bern machen wollen. 
Für einen Befund braucht man zwischen 10 Min und 3 Std. 

Wichtig für die Geschwindigkeit ist, wie schnell die Internetverbindung ist und wie man an die Bilder kommt. Werden die Bilder auf dem Server des Arbeitgebers aufbereitet und dann nur aufschalten oder muss man sie runterladen. Dann braucht man eine gute Verbindung und einen guten Rechner, damit es schnell geht, weil bis zu 5 GB Größe. 
Man könnte auch fragen, ob die Ärzte an ihren Arbeitsplätzen in der Klinik für uns befunden könnten und dann mit den Kliniken einen Vertrag abschließen. 
Bildschirme müssen keine Rontgenanforderung haben. Es müssen CT-Monitore sein, die niedrigere Anforderungen haben als bei Rontgenanforderung. 
Man könnte die Daten verschlüsselt auf einem Server liegen haben oder ggf Dropbox. Auch ein online PACS wie bei Praxen ist möglich, dass man ein QR Code oder Link bekommt. 
Rosenheim nutzt Gemed-PACS, gibt es dort ein online Portal? Man könnte eine Serverbasierte Lösung in Rosenheim aufbauen und dann expandieren. Es gibt PETs die auch überlastet sind. So könnte man einen Pool aufbauen. Er würde auch gerne 250€ pro Std. haben.  

22.11.2022 - TP: Tel. aktuell leider muss wegen Familie in Dresden bleiben. Gerne in Kontakt bleiben und vielleicht später irgendwo im Umland umsehen. 


hat die passende Position für sich! 3000€ Bonus! nur Dresden",emma.wagner@gmail.com,+49 1014947008,,2025-04-04 23:59:00,20m6iltzwa2qtay5m9o1013yl02xaw,Tel.,2026-01-17 17:25:35,2026-01-17
1248,Zimmermann,Sophie,,contacted,,,,,,,,,,"düsseldorf, krefeld, müssen",,,,,,Facharzt,Orthopädie & UCH,"Skills:
• Facharzt Orthopädie und Unfallchirurgie
• Zertifikat Fußchirurgie
• Ist gerade in der Endphase seiner Weiterbildung in Spez. Unfallchirurgie
• ZB in Manuelle Medizin/ Choropraktik

Gehaltswunsch: 140.000€

Zusammenfassung:
Der Kandidat sucht gerade einen Ausstieg aus dem Klinikbetrieb, um keine Schichten und Wochenenddienste mehr machen zu müssen.
Er würde gerne in ein Praxisbetrieb einsteigen, um geregelte Arbeitszeiten nachzugehen und folgend mehr Zeit mit seiner Familie verbringen zu können.
Durch seine Zusatzqualifikationen hat er alle Voraussetzungen in einen Praxisbetrieb erfolgreich arbeiten zu können. 
Der Kandidat wohnt unweit von Düsseldorf und kann sich den Standort in Krefeld sehr gut als Arbeitsstandort vorstellen.
Er hat realistische Gehaltsvorstellungen (ca. 140.000€) und kann sich sehr gut als Fachmann einordnen.
Der Kandidat hat sein Interesse bekundet, würde sich sehr gerne näher vorstellen und steht für erste Kennenlerngespräche gerne zur Verfügung.","20.10.2022 - evgeny:
-möchte in der Nähe von Bonn in eine Praxis Umsteigen",sophie.zimmermann@outlook.com,+49 1264720587,,2026-01-17 14:33:19.354439,10tgpp9mp21y19xjl9wt15e0s0xr6y,,2026-01-17 17:25:35,2026-01-17
126,Richter,Klara,Dr.,interested,,,,,,,,,,berlin,,,,,,Doppelfacharzt,"Radiologie, Nuklearmedizin",nur Berlin und Umgebung (dort WHG gekauft),30.05.2023: nur Berlin und Umgebung (dort WHG gekauft),klara.richter@outlook.com,+49 1131741088,,2026-01-17 14:33:19.373612,1xso5gffmx1nsnob8ow90gmil7sct3,,2026-01-17 17:25:35,2026-01-17
831,Schwarz,Clara,Dr.,interested,,,,,,,,,,"köln, nordrhein-westfalen",,NRW,,Ltd. OA,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Mammographie, KI interessiert",Köln und Umgebung,"Will Leitung oder Management ohne Dienste. Will eher keine Ketten. Kann alles, MSK, Mamma, Herz, Prostata, Staging. 
ab 180k 
Kein Umzug, nur Köln. Gerne Remote und ein paar Tage vor Ort. 
Interesse an KI!",clara.schwarz@web.de,+49 1289360327,,2025-11-06 23:59:00,0x2gub44we28rt5pddp00iv1w2bq4t,Tel.,2026-01-17 17:25:35,2026-01-17
136,Wagner,Isabella,Dr.,interested,,vorgestellt bei Mergen,,,,,,,,nordrhein-westfalen,,NRW,,Standortleiter,Gesellschafter,Doppelfacharzt,"Radiologie, Nuklearmedizin",nur Gesellschafter,"Tele-Nuk Projekt vorgestellt

Kontakt über Mina Shahnaziyan. Er und Dr. Kohnen haben als GF gekündigt. Auch Mina hat gekündigt. Hat großes Interesse an Tele Nuk ca. 15h prp Woche
War in Essen Uni dort NUk und viel PET/CT gemacht. Dann in Praxis und FA für Rad gemacht. 
Will nur als Gesellschafter irgendwo arbeiten. Ist seit 2 Jahren GF bei RH TD für 8 Standorte. Hat Nuk ohne PET aufgebaut. Kennt sich mit KV Sehr gut aus. Kennt sich in Hybridbilder CT MRT aus. Kann FTG und PSMA, Tele Nuk als Nebenjob.",isabella.wagner@gmail.com,+49 1827337741,,2025-10-06 23:59:00,1obcmgafxi0eoz87nga102sa3ob2zh,Email,2026-01-17 17:25:35,2026-01-17
