id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,arbeitsort,wohnort,wunscharbeitsort,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,minicrm_id,how_where_contacted,last_contact,gehaltswunsch,skills,cv_pdf,export_timestamp,export_date
1010,Klein,Elena,Dr.,interested,,,,,,DE,ganz Deutschland,,Ltd. OA,Chefarzt,Facharzt,Anästhesie,will CA,"West- und Süddeutschland  + Hessen
will 350k s.h. Email und weitere Unterlagen",elena.klein@yahoo.de,+49 1616526694,,1c1ec417e90tlilo1byf2pellrdiaz,Email,,99000,,,2026-02-04 23:43:39,2026-02-04
78,Neumann,Lea,Dr.,contacted,,,,,,aue,,,,,Facharzt,Strahlentherapie,12/2022 CA Strahlen Helios in Aue,,lea.neumann@web.de,+49 1284350287,,1vw14y73un1bb7ap8u6y1v11heoyfk,,,86000,,,2026-02-04 23:43:39,2026-02-04
77,Schmidt,Anna,Dr.,contacted,,,,,,,,,Ltd. OA,,Facharzt,Strahlentherapie,,,anna.schmidt@yahoo.de,+49 1967611852,,0dbkwqbv5u0rgdonmm7s080u0mmcns,,,89000,,,2026-02-04 23:43:39,2026-02-04
114,Schwarz,Maria,Dr.,contacted,,,,,,hamburg,,,,,Facharzt,"Radiologie, Nuklearmedizin",arbeitet bei Conradia HH,Hamburg oder Berlin. Will Praxis oder MVZ und am besten Praxis wo man dann einsteigen kann.,maria.schwarz@yahoo.de,+49 1927639374,,0iuj3wojk92lbyf7xk9g2pvpd90jrr,,,100500,,,2026-02-04 23:43:39,2026-02-04
1012,Schulz,Sophie,,contacted,,,,,,stelle,,,,,Facharzt,Orthopädie & UCH,"Der Kandidat arbeitet zu Zeit als Oberarzt im EVK CASTROP RAUXEL.
Er hat erst kürzlich zusätzliche Weiterbildungen abgeschlossen und steht kurz vor dem Erwerb weiterer Zertifikate und Zusatzbezeichnungen. Zum Anfang des Jahres 2023 sollte der Kandidat bereits seine Zertifikate erhalten haben, dazu gehört die Zusatzbezeichnung in Spezielle Unfallchirurgie, Fußchirurgie und Wundexperte. Der Kandidat möchte sehr gerne in die Privatumgebung wechseln, weg von den Diensten und Schichten in einer Klinik. Er war stets in einem Klinikumfeld tätig und möchte endlich geregelte Arbeitszeiten und  die Wochenenden mit seiner Familie frei genießen können. Dr. Abdelatti hat sich sehr interessiert an der Stelle gezeigt und hat umgehend seine Dokumente zugesendet, sowie sein Commitment zur Vorstellung bekräftigt. Dr. Abdelatti steht Ihnen ab sofort für erste Gespräche zur Verfügung.","20.10.2022 - evgeny:
• Facharzt für Orthopädie und Unfallchirurgie 
• Spezielle Unfallchirurgie und D-Arzt 
(Erwerb zum Jahresanfang 2023)
• Zertifikat  Fußchirurgie (kurz vor dem Abschluss)
• Wundexperte (Die Zertifikat kommt noch).


07.10.2022 - evgeny:
Job Hopper",sophie.schulz@web.de,+49 1987489711,,2eekoye3va2an4j48hl42b9c56acmn,,,83500,,,2026-02-04 23:43:39,2026-02-04
122,Wagner,Emma,Dr.,interested,,,,,,dresden,,,,,Doppelfacharzt,"Radiologie, Nuklearmedizin",Dresden,"04.04. zu Tele-Nuk: Hat Interesse aber ihm ist die Zeit mit seiner Familie wichtig, deswegen würde es machen aber wahrscheinlich zu einem teureren Preis. 
Man hat sowas auch mal in Bern machen wollen. 
Für einen Befund braucht man zwischen 10 Min und 3 Std. 

Wichtig für die Geschwindigkeit ist, wie schnell die Internetverbindung ist und wie man an die Bilder kommt. Werden die Bilder auf dem Server des Arbeitgebers aufbereitet und dann nur aufschalten oder muss man sie runterladen. Dann braucht man eine gute Verbindung und einen guten Rechner, damit es schnell geht, weil bis zu 5 GB Größe. 
Man könnte auch fragen, ob die Ärzte an ihren Arbeitsplätzen in der Klinik für uns befunden könnten und dann mit den Kliniken einen Vertrag abschließen. 
Bildschirme müssen keine Rontgenanforderung haben. Es müssen CT-Monitore sein, die niedrigere Anforderungen haben als bei Rontgenanforderung. 
Man könnte die Daten verschlüsselt auf einem Server liegen haben oder ggf Dropbox. Auch ein online PACS wie bei Praxen ist möglich, dass man ein QR Code oder Link bekommt. 
Rosenheim nutzt Gemed-PACS, gibt es dort ein online Portal? Man könnte eine Serverbasierte Lösung in Rosenheim aufbauen und dann expandieren. Es gibt PETs die auch überlastet sind. So könnte man einen Pool aufbauen. Er würde auch gerne 250€ pro Std. haben.  

22.11.2022 - TP: Tel. aktuell leider muss wegen Familie in Dresden bleiben. Gerne in Kontakt bleiben und vielleicht später irgendwo im Umland umsehen. 


hat die passende Position für sich! 3000€ Bonus! nur Dresden",emma.wagner@gmail.com,+49 1014947008,,20m6iltzwa2qtay5m9o1013yl02xaw,Tel.,,101000,,,2026-02-04 23:43:39,2026-02-04
1125,Krüger,Elena,Dr.,contacted,,,,,,,,,,,Facharzt,Orthopädie & UCH,,,elena.krüger@gmail.com,+49 1738937114,,1vooqh28201tpw8xf5bi0d4uoublvw,,,101000,,,2026-02-04 23:43:39,2026-02-04
147,Bauer,Mila,,interested,,vorgestellt bei Mergen,,,,"AT, CH, DE","ganz Deutschland, Österreich, Schweiz",,Oberarzt,Gesellschafter,Facharzt,Nuklearmedizin,will Gesellschafter,"Will als Gesellschafter, FA Nuklearmedizin
aktuell kein PET/CT aber in Uni viel PET/CT gemacht 2 Jahre in Folge
01.03.2026
Vollzeit 

bei Mergen vorgestellt. Leider von Mergen abgesagt weil zu sehr auf Geld fixiert. 
Gerne in Kontakt bleiben.",mila.bauer@yahoo.de,+49 1435394598,,0n3xfama370v57gbi4xr2a077h2n4g,Tel.,,150000,,,2026-02-04 23:43:39,2026-02-04
1130,Hoffmann,Elena,,interested,,,,,,,,,,,Facharzt,Orthopädie & UCH,,"20.07.2023 - EB:
""My Name ist Dr. Ibrahim Ibrahim , i am a german Surgeon , i live and work currently in Germany . 
I am a Consultant for Orthopedic and Trauma Surgery and specialized in foot and Ankle Surgery as well Shoulder surgery . 
I am a main Prosthetik surgen for Hip Knee and Shoulder Arthroplasty .
I am specialized as Well in Knee , Shoulder and Ankle Arthroskopy""",elena.hoffmann@yahoo.de,+49 1755840749,,23djgefqj70xfjl11glc15f247w72f,,,99000,,,2026-02-04 23:43:39,2026-02-04
91,Schwarz,Anna,Dr.,interested,,,,,,nordrhein-westfalen,NRW,,Standortleiter,"Chefarzt, Standortleiter",Facharzt,Strahlentherapie,,,anna.schwarz@outlook.com,+49 1650913335,,27x3s0zbcd0c2mjrqp3b1ex0dz2ob6,,,219000,,,2026-02-04 23:43:39,2026-02-04
