First Name,Last Name,Headline,Job Title,Company,Location,Industry,Email,Linkedin,Profile Picture,Languages,Date of Birth,Followers,Enriched Private Email,Enriched Business Email,Enriched Phone,Notes,Tags,Last contact date,Date Connected,Mutual Connection
Laura,Peters,PD | sonstige | Mammographie | EBIR,"sonstige, Klinik für Mammographie",Klinikum Birkweiler,"Germany, Birkweiler, Rheinland-Pfalz, Germany",Medical Practices,laura.peters@mail.de,https://www.linkedin.com/in/laura-peters-493495/,https://media.licdn.com/dms/image/v2/C5603AQFt22gzn2sul0vtfkw65i8wo3s7p7cx3e8xpxqpncwcsp/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-06-27 15:43,No
Felix,König,PD | Facharzt | Psychiatrie | EBIR,"Facharzt, Klinik für Psychiatrie",Klinikum Geußnitz,"Germany, Geußnitz, Sachsen-Anhalt, Germany",Medical Practices,felix.könig@mail.de,https://www.linkedin.com/in/felix-könig-659467/,https://media.licdn.com/dms/image/v2/C5603AQFmmbcnpm73080kzu6sxu5cji9tctwi2yapipi7sy248v/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-10-18 11:34,No
Ben,Böhm,Prof. Dr. | Ltd. OA | Pädiatrie/ Kindermedizin | EBIR,"Ltd. OA, Klinik für Pädiatrie/ Kindermedizin",Klinikum Plattling,"Germany, Plattling, Bayern, Germany",Medical Practices,ben.böhm@mail.de,https://www.linkedin.com/in/ben-böhm-742479/,https://media.licdn.com/dms/image/v2/C5603AQFipgexgvny752z2t3voabamohq2axurt2wpfrermd3r6/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2025-10-09 10:12,No
Julia,Frank,Dr. med. | Ltd. OA | Pädiatrie/ Kindermedizin | EBIR,"Ltd. OA, Klinik für Pädiatrie/ Kindermedizin",Klinikum Wasserleben,"Germany, Wasserleben, Sachsen-Anhalt, Germany",Medical Practices,julia.frank@mail.de,https://www.linkedin.com/in/julia-frank-337644/,https://media.licdn.com/dms/image/v2/C5603AQFpgn6tjib9v4dvjc2th95trlnqewqqntebr8o8ikbzjw/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-12-22 10:35,No
Jan,Haas,Dr. med. | Ltd. OA | Diagnostische und Interventionelle Radiologie | EBIR,"Ltd. OA, Klinik für Diagnostische und Interventionelle Radiologie",Klinikum Rödinghausen,"Germany, Rödinghausen, Nordrhein-Westfalen, Germany",Medical Practices,jan.haas@mail.de,https://www.linkedin.com/in/jan-haas-237208/,https://media.licdn.com/dms/image/v2/C5603AQFh3gnvgnepdlh4tyeyu4u0jlbqln6m6xu2mcmvbrmtk0/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-09-13 12:50,No
Tobias,Schneider,Dr. med. | Oberarzt | Neuroradiologie | EBIR,"Oberarzt, Klinik für Neuroradiologie",Klinikum Fehrbellin Deutschhof,"Germany, Fehrbellin Deutschhof, Brandenburg, Germany",Medical Practices,tobias.schneider@mail.de,https://www.linkedin.com/in/tobias-schneider-503258/,https://media.licdn.com/dms/image/v2/C5603AQF1eltxmjq70nkn8zkqd2m596qfquco3pwbft5098fxen/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-07-23 16:48,No
Peter,Braun,Ltd. OA | Pädiatrie/ Kindermedizin | EBIR,"Ltd. OA, Klinik für Pädiatrie/ Kindermedizin",Klinikum Fahrbinde,"Germany, Fahrbinde, Mecklenburg-Vorpommern, Germany",Medical Practices,peter.braun@mail.de,https://www.linkedin.com/in/peter-braun-268455/,https://media.licdn.com/dms/image/v2/C5603AQFzra4v3lfa7vz0gg7bcc2nco8tui2fitms9f15jwldq9/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-08-04 11:44,No
Fabian,Albrecht,Prof. Dr. | Ltd. OA | Mammographie | EBIR,"Ltd. OA, Klinik für Mammographie",Klinikum Drewitz,"Germany, Drewitz, Brandenburg, Germany",Medical Practices,fabian.albrecht@mail.de,https://www.linkedin.com/in/fabian-albrecht-156262/,https://media.licdn.com/dms/image/v2/C5603AQF2zcezdyqz6ydnhijjua9wnzt50q8wi22ezshzjq112f/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-10-16 18:27,No
Melissa,Groß,Dr. med. | Oberarzt | Nuklearmedizin | EBIR,"Oberarzt, Klinik für Nuklearmedizin",Klinikum Norheim,"Germany, Norheim, Rheinland-Pfalz, Germany",Medical Practices,melissa.groß@mail.de,https://www.linkedin.com/in/melissa-groß-268268/,https://media.licdn.com/dms/image/v2/C5603AQF8l4tsv51oe9b3lgc0kyo65f8vo5zui3c42fjdhtx11p/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-11-12 08:25,No
Andreas,Vogel,PD | Gesellschafter | Neuroradiologie | EBIR,"Gesellschafter, Klinik für Neuroradiologie",Klinikum Großkorbetha,"Germany, Großkorbetha, Sachsen-Anhalt, Germany",Medical Practices,andreas.vogel@mail.de,https://www.linkedin.com/in/andreas-vogel-342966/,https://media.licdn.com/dms/image/v2/C5603AQFed2cw2dxv39y1jxcojyceun6qytvi0i05l4ibfb4htz/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-08-11 13:33,No
